structure_group_id_v1,structure_group_size,molecule_ids_numeric_sorted,unique_donor_ids,donor_ids_numeric_sorted,unique_acceptor_ids,acceptor_ids_numeric_sorted,unique_donor_structures,unique_acceptor_structures,unique_role_aware_groups,role_annotation_consistent,atom_count_consistent,sidecar_atom_origin_consistent,dft_pdb_json_geometry_consistent,d81_a28_conflict_in_group,geometry_reference_id,geometry_resolved_comparisons,geometry_unresolved_comparisons,geometry_mapping_methods,heavy_atom_rmsd_min_angstrom,heavy_atom_rmsd_max_angstrom,geometry_unresolved_reasons,primary_range_eV,meaningful_target_disagreement_count,representative_eligible_under_strict_rule
6af254445f773a918a9b1a81600480866bb8cdd5f2a672a544a97a7dec0e6d5e,2,D20_A274;D20_A277,1,D20,2,A274;A277,1,1,1,True,True,True,True,False,D20_A274,1,0,RESOLVED_INDEX_GRAPH,0.0013332344115286273,0.0013332344115286273,,0.0002651428571429082,8,False
6b2deb89122dc3707b99cd5837bce7bbd1383af655f49d22a0997d5b7c17a699,2,D130_A23;D130_A30,1,D130,2,A23;A30,1,2,2,False,True,True,True,False,D130_A23,1,0,RESOLVED_INDEX_GRAPH,0.002512658788760403,0.002512658788760403,,0.0010105714285714162,13,False
6b655a7114466dc8b2057d845cb9633738c57662483ee87e19a377ea47aacbab,2,D83_A182;D83_A187,1,D83,2,A182;A187,1,2,2,False,True,True,True,False,D83_A182,1,0,RESOLVED_INDEX_GRAPH,0.007735090413832292,0.007735090413832292,,0.00997085714285717,12,False
6b7dcace3e8ead9ddde499526a7c9226b28f1a40a8f75ab9a339808bd97c0de4,2,D70_A182;D70_A187,1,D70,2,A182;A187,1,2,2,False,True,True,True,False,D70_A182,1,0,RESOLVED_INDEX_GRAPH,0.015109979225226711,0.015109979225226711,,0.0005094285714285496,15,False
6f112aae7a9fdaaf841413d20c4d6eb5f4a7a2eda4d83a7ed495f013bc82b409,2,D87_A13;D87_A14,1,D87,2,A13;A14,1,1,1,True,True,True,True,False,D87_A13,1,0,RESOLVED_INDEX_GRAPH,0.0005617107061454246,0.0005617107061454246,,0.0001180000000000625,4,False
6f18febb31e7061ed174a9ca348c600d6bb954e15dbad5a681483adbc17c8f46,2,D41_A352;D42_A352,2,D41;D42,1,A352,1,1,1,True,True,True,True,False,D41_A352,1,0,RESOLVED_INDEX_GRAPH,0.38580390730805925,0.38580390730805925,,0.03178114285714295,16,False
70ff85ac758a60a93ce50c5a693ef0007a182eca9c1770588596859f095ab531,2,D144_A182;D144_A187,1,D144,2,A182;A187,1,2,2,False,True,True,True,False,D144_A182,1,0,RESOLVED_INDEX_GRAPH,0.002133145366969912,0.002133145366969912,,0.0005308571428571662,11,False
71394c77871322e88df8153c4bcd3f85187f66e2ed28ccbde43e5e12b378d694,2,D52_A122;D53_A122,2,D52;D53,1,A122,2,1,2,False,True,True,True,False,D52_A122,1,0,RESOLVED_INDEX_GRAPH,4.111644564015734,4.111644564015734,,0.0463202857142857,20,False
721b882d5434a87d32d3f83e687c93dcd56ca85fe6d522abc154fa844cae3f81,2,D65_A13;D65_A14,1,D65,2,A13;A14,1,1,1,True,True,True,True,False,D65_A13,1,0,RESOLVED_INDEX_GRAPH,0.0012434205633873264,0.0012434205633873264,,4.285714285678921e-06,8,False
729e2183d6b98630f2c214d111d00674a71e9fb8a364d72b3678240a10300b56,2,D52_A308;D53_A308,2,D52;D53,1,A308,2,1,2,False,True,True,True,False,D52_A308,1,0,RESOLVED_INDEX_GRAPH,0.11555350275768593,0.11555350275768593,,0.02741085714285707,16,False
