entity_type,entity_group_id_v1,record_count
donor_structure,d57776dbd57531e439c4efe4689689457032b30dae4e40721a14400dea2cec78,82
donor_structure,d9191f09c9c2ab6e007738a98b7f0a3625df05a8807ce0e5971b384b017d14d4,92
donor_structure,da5b52498ba1166cb24d6f1de4f594329ab5ec8e689af6f6951742d00286b6c3,133
donor_structure,dad0d796b24d0a9053b4a79d5db462e2cb69742931e8b2385805ae43d2334527,80
donor_structure,db45fcc38405a998d22734065523a20d2d14d73045e91af46d292c09c7e247b0,74
donor_structure,dcafd02d366b19ae3c7e501dd6e1bacd114a5edd84c30f5d64c8d503b71950e7,198
donor_structure,de55ddcd9abec10a71729f210cf9f6f843934c92bdc9dd9bd6ebf8deb456ea48,48
donor_structure,de5b2b580625dac6ed92fb0337c5f61f74ca8eeb33cb8378cb5402103d915ab2,82
donor_structure,df24a5f8d69367962a2c17fbb09cb73dc025aa8d50e3cdc9f388bd246d1ef8a0,76
donor_structure,df32f3980b6b70745d7897f90261bb42e6273aa5b48ae02faba7c12b8ae9a6fd,130
donor_structure,e01c6aaf55ce5ae7f01b7df39e288fd870eb54cfc6e2ada45a7486a1c5aabdb7,74
donor_structure,e15e065a45e28cae8837c05806e0cb006ce0ac3d41957d63517c09726bb2fd47,193
donor_structure,e251a334b6e1d452474cc23dd0692c7515f8d22af341ebb9dd5cf59afdb2ec6f,153
donor_structure,e29213e3ee2c5c70fd80416a39736747a4b2ce1bdb0196fd5d80ffbed960c92a,199
donor_structure,e466fdda3fb8996d5dd80dd461783dce76965f8c5f3068f65c92177cf8c029f2,152
donor_structure,e484b076f3de771afcf5c458edd4b47f603672db35b7f7665fad08a33f083217,124
donor_structure,e804c44b453e3a83de7ad145c3f93f6cad907499a74221623ba18cdefffc122d,4
donor_structure,e87ec2098e6f3a790f0de46930c20796a41c30b8abb02c7eb432f56969b1eb8d,129
donor_structure,e8a4e9e2cc9d853eead319f56e8144d7ab8ea581dcfa5b6b28d939881cb3af52,137
donor_structure,eaa37f7305e2cf172377f219396446a5738fbed67e29706e4a9c6dc240458b18,199
donor_structure,eb73a781b3d196623c9d9f6cc5ec6a7f24ec750c08ec1cb274eec0fd4dcd556a,31
donor_structure,f03a76e621b77d9e06162f648b8d46fdb94c335e8b257f1cb173e9502ea78f86,184
donor_structure,f15d1dff8dbcad6279b947a9f69ef5205ba096a8e4ad3883d90318476dc1c467,182
donor_structure,f55306e266dbc799facb1dd7a8af5b2b5e592fdbb3774954f948d13c7b637582,58
donor_structure,f62daac0d46032bb0bc2f638fbb94ccf741ad46e47a5e264b87b08bb91074f1a,164
donor_structure,f69917518c5c30302bba6dc433a786712f15adb2036d384c441be77c61878156,40
donor_structure,f6b7282b5386e18224fe97c60cf38c7680cac67e30a1dd108a27bcbf101e7006,37
donor_structure,f7e2c6c85b6e3469d90cbe0afa67a70d3cfdb02d52a4f6b90e15a1e92042f419,160
donor_structure,fe985d78e56d115d538e36452ed2d8aa4a8a5f66ff25dc22cac93ae72950e6d5,191
donor_structure,fed141081a00d774a24474cdb45c968db66d7138fcc37d21577fbbfc8c6a9753,111
acceptor_structure,000cd76761fbd2f5a573e1859f7139a04dc5af092201d80e60efbc5284337b89,39
acceptor_structure,001535c2618ba81042b62ea94bd34a9ed3bfda5679b029080b210236e43efa3c,25
acceptor_structure,008c71e17c2399e9eb0b3617884d47d719ab49cdf0eaa35e1ed1cceb8ebefec5,65
acceptor_structure,00d7e1a832d62e6bd5d031ec81abb8b7d5a479c5d4a9e1b047f0c3a267467576,86
acceptor_structure,00fb7d51881d5fbd8b493b4f2ff2c8c1c667c05a3b592e1d513131332b5bedfe,91
acceptor_structure,01a53ea502f111a17c9758a5cbe276ca6c6ce3ead4e1353ea77fe0cbf04ba6fa,30
acceptor_structure,03ebb3ca3162f31046095717bc4df8d5a7bd228b705ca71aa32d1d79e86d4311,19
acceptor_structure,06394690a7bcac8300bb786eefd3c9166aec3ed2ea55321368d0bfcd7b04d3ae,27
acceptor_structure,066454c65902050be18769f5328078dcb5f8413220cd563ecc10dcb58d2acf62,66
acceptor_structure,06f48d6158297f592375fbd0867f386b195b58b1f372627640cd489af0322397,25
acceptor_structure,0a1bd679f947b589b8dcb849f04299a8d6e01750be0d02dd6756ca811ddc1e72,34
acceptor_structure,0b94a9a08e08862dabfa8b40f9b8346619288e03f672001a7435638e820aa7d1,15
acceptor_structure,0c927135dcf5a35c727277481e03e145386a61c5dee024fadae7985b7fc794b0,98
acceptor_structure,0d400a01ca93c62ade38c9543d2787726c39db01c865083dfd826fd7a29de3c8,86
acceptor_structure,0e9859eda437d37c1ac3bf27df33f7533c4b49365d638c001a48f47b999b4a87,61
acceptor_structure,0f96afd0e841572b0ca4d8c04bdab5c7438c48df86824b04bb68b33aba5be78c,16
acceptor_structure,10b03b1cdec1b63aad5956df9a411cc8e4ccaa5bb266dc2707136b8a59dc8fbf,26
acceptor_structure,10c85887fc99457c20ddbc6a3c5532807de8e2b376d549ea2d699c004fc5cfd2,18
acceptor_structure,11ce27cb46b1884bdce64317dbfd254e49d446adc87009ab118374ac95b72cc4,54
acceptor_structure,1210fbb2df103fbcbf0174c2b2734d50a484be3324287f04ba1fd441bba7b8de,47
acceptor_structure,13d17fe8e70392017a0de3b96ab11cd03f55329ef4366950b75ce0b7cf108880,15
acceptor_structure,14a5ea38419020653bc531d46e329dceae9e799ddade000e390ea86af451b450,95
acceptor_structure,159edd0c2049ad95f768b6f55c34e9213b140d1eee526c24b86687de2970fa76,59
acceptor_structure,16d97eb3169e3a8f5caf3bdaf4156755eb5314b15596ff494006df3e4b8f54b4,33
acceptor_structure,182697a6b86f36ff03d311430299d137f0c04d13bec8d68f207f3fbd4fddefc4,26
acceptor_structure,1842ae4a8aae87969242c70bbda7a2b10f5b32e9c636828a6ccb5250e2b5f8fc,57
acceptor_structure,1a05e4f2b9c77bbf3076dbfbc5567e4812a28be344086994b2ab2edf5cb3ae09,24
acceptor_structure,1ad240c6c47697c8aa60294e0692f32aa6e15cd17aa6096730d1ba298eba6da1,60
acceptor_structure,1bb6524eac5b597bfeb476466335330546cf4f6ad6e558c215e1de855dcce49a,54
acceptor_structure,1d5f5805006411aa23ce83e183d584a64fd550e1f2d4d51df7c33ce3dd7bbcab,31
acceptor_structure,1ddf323d9a04f11bc470cbec6b127dcdceb4803a29df7e38e8ba0abea141862f,52
acceptor_structure,1de94d220d42b9872ada56d7c922cfc28e602bc25ae3999b2de1feb0b6b11c92,87
acceptor_structure,1e21f746b9837327d737286b9a0d22193a98ef924bfd2006913da998d1d503de,26
acceptor_structure,1f1003ddbe02e433de02f020a0f933353b024147098ec2f1522dd07ad4f2ff42,70
acceptor_structure,1f65326391d816f02b599376100d57044a2fbba003aef869c7831d110b32366b,27
acceptor_structure,203f2248beee433302e15307cf75ceb0ac6ffe993d1a801c21e5a1b410e9a0cd,59
acceptor_structure,205062a8cca04d946b86cf4530bfefb1b92efc05819a258de2147fcd1ce6a859,27
acceptor_structure,20d0ae666fce8d434fc37bb3306aa8a164dd33aa2bb6af44ecf736e31b995d10,23
acceptor_structure,216333dbe57481cd2e80c410f0fb0fc933cb897415eb85fb6908181779f879ca,28
acceptor_structure,22d283531d34bc8864db9de46b3a2a2cbe6dd6904dbfc22d5cfd4ee8e062b848,27
acceptor_structure,2316d5896c5fcb7480dbe48a1b61693f40ec6f72b393ddfe2927be05befbb148,32
