structure_group_id_v1,structure_group_size,target,target_role,non_null_count,meaningful_tolerance,min,max,range,mean,std_population,maximum_absolute_deviation,exact_consistency,allclose_consistency,meaningful_disagreement
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_hole_on_acceptor_fraction,masked_auxiliary,1,1e-05,0.029718137254901973,0.029718137254901973,0.0,0.029718137254901973,0.0,0.0,True,True,False
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_electron_on_donor_fraction,masked_auxiliary,1,1e-05,0.3320239818069048,0.3320239818069048,0.0,0.3320239818069048,0.0,0.0,True,True,False
0833350b3acb7f4b8a953c748a2b7cb0114b946f175daae5240081e7b5cab8a1,2,tddft_electron_on_acceptor_fraction,masked_auxiliary,1,1e-05,0.6679760181930944,0.6679760181930944,0.0,0.6679760181930944,0.0,0.0,True,True,False
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_coulomb_attraction_eV_eps3p5_proxy,primary,2,0.001,0.5849665714285714,0.5852348571428572,0.0002682857142857209,0.5851007142857143,0.00013414285714286045,0.00013414285714286045,False,False,False
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_excitation_energy_ev,secondary,2,0.001,2.9132,2.9133,0.00010000000000021103,2.9132499999999997,5.0000000000105516e-05,5.000000000032756e-05,False,False,False
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_wavelength_nm,secondary,2,0.1,425.58,425.59,0.009999999999990905,425.585,0.0049999999999954525,0.0049999999999954525,False,False,False
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_oscillator_strength,secondary,2,0.0001,1.4603,1.4607,0.000400000000000178,1.4605000000000001,0.000200000000000089,0.00020000000000020002,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_transition_dipole_au,secondary,2,0.0001,2.5571060369909695,2.5581893563615847,0.0010833193706152322,2.557647696676277,0.0005416596853076161,0.0005416596853078381,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_coulomb_attraction_au,secondary,2,1e-05,0.07524,0.075274,3.399999999999237e-05,0.07525699999999999,1.6999999999996185e-05,1.7000000000003124e-05,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_coulomb_attraction_eV,secondary,2,0.001,2.047383,2.048322,0.0009390000000002452,2.0478525000000003,0.0004695000000001226,0.00046950000000034464,False,False,False
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_Sm,secondary,2,1e-05,0.31336,0.3134,3.999999999998449e-05,0.31338,1.9999999999992246e-05,2.0000000000020002e-05,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_Sr,secondary,2,1e-05,0.58326,0.58327,9.99999999995449e-06,0.5832649999999999,4.999999999977245e-06,5.000000000032756e-06,False,False,False
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_D_index_angstrom,secondary,2,0.001,3.706,3.708,0.002000000000000224,3.707,0.001000000000000112,0.001000000000000334,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_H_CT_angstrom,secondary,2,0.001,2.473,2.474,0.001000000000000334,2.4735,0.000500000000000167,0.000500000000000167,False,False,True
08a9871ecb9ab0124b5ffc8d828ad232303f3cf2430ef8382d06bd5ac2e67e35,2,tddft_t_index_angstrom,secondary,2,0.001,1.234,1.234,0.0,1.234,0.0,0.0,True,True,False
