bytes,family,input_columns,loadability,parameters,path,rounds,scientific_status,sha256,smoke_rows,tensor_count,tensor_elements
7442253,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/iid/M11/seed456/model.pt,,BLOCKED_RESULT_ASSET_ONLY,ba2b44eae4936ff6348009644093919a554b5682d149cd9f9eb6e1b01475c591,4,,
7977277,physics_multitask,,LOADABLE_FINITE_FORWARD,1986320,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/iid/M15/seed123/model.pt,,BLOCKED_RESULT_ASSET_ONLY,f7d12f8e0746d7ebb40b790edecf197fa709a78e1654935bc8b63aa622a9d1b5,4,,
7977277,physics_multitask,,LOADABLE_FINITE_FORWARD,1986320,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/iid/M15/seed42/model.pt,,BLOCKED_RESULT_ASSET_ONLY,d97b9dc775671adb32d9c5d2b3ca917827c6287d284cb90ae837b9b6a610c5b7,4,,
7977277,physics_multitask,,LOADABLE_FINITE_FORWARD,1986320,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/iid/M15/seed456/model.pt,,BLOCKED_RESULT_ASSET_ONLY,a057d7d73d2b7f43011c8725c45f0db2484657570b979a5b0e78dab07059c5c7,4,,
5972265,physics_multitask,,LOADABLE_FINITE_FORWARD,1490945,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/iid/S0/seed123/model.pt,,BLOCKED_RESULT_ASSET_ONLY,d6808b643ab2cece7307599217e2b5829a5fcbab7b87ed94f36ca25079fa873a,4,,
5972265,physics_multitask,,LOADABLE_FINITE_FORWARD,1490945,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/iid/S0/seed42/model.pt,,BLOCKED_RESULT_ASSET_ONLY,550c1f8cd777f29dc65d433811de98932573ff481182ee3cbf6d8cf5a6b14780,4,,
5972265,physics_multitask,,LOADABLE_FINITE_FORWARD,1490945,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e1_physics_multitask/full_refit/iid/S0/seed456/model.pt,,BLOCKED_RESULT_ASSET_ONLY,e54f10175df64257232f90b72796bfc48ecf89d82578ff267799ef5a3d5ea8f2,4,,
7446629,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e2a_multitask_crossfit/neural/acceptor_cold/fold0/M11/seed123/refit_checkpoint.pt,,TRAINING_ONLY_CROSSFIT,a62a1499682ef36abf2c5f0374a943b3fb084763096bb5cb2192218373f98ef8,4,,
7446629,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e2a_multitask_crossfit/neural/acceptor_cold/fold0/M11/seed42/refit_checkpoint.pt,,TRAINING_ONLY_CROSSFIT,cb6d73ce682249d82ce784f55056e604c6965650bcc26d91a882baebf5c48276,4,,
7446629,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e2a_multitask_crossfit/neural/acceptor_cold/fold0/M11/seed456/refit_checkpoint.pt,,TRAINING_ONLY_CROSSFIT,de1d3a46f3840b314a997c27748dbc8a4117f566418f2d89abbab87b5daf04bc,4,,
5973789,physics_multitask,,LOADABLE_FINITE_FORWARD,1490945,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e2a_multitask_crossfit/neural/acceptor_cold/fold0/S0/seed123/refit_checkpoint.pt,,TRAINING_ONLY_CROSSFIT,f765374ad5948067bc269f71da99274bceab0c9a36c50fe841bd3247c2afef42,4,,
5973789,physics_multitask,,LOADABLE_FINITE_FORWARD,1490945,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e2a_multitask_crossfit/neural/acceptor_cold/fold0/S0/seed42/refit_checkpoint.pt,,TRAINING_ONLY_CROSSFIT,b2215a82f3e83fcce5b4213cdd8ea852498272ae21f4b9981157defe149ce158,4,,
5973789,physics_multitask,,LOADABLE_FINITE_FORWARD,1490945,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e2a_multitask_crossfit/neural/acceptor_cold/fold0/S0/seed456/refit_checkpoint.pt,,TRAINING_ONLY_CROSSFIT,c0319f9a031d2cd330012f55de8fccb687b194f43fd0397c2a917f8c4cadf547,4,,
7446629,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e2a_multitask_crossfit/neural/acceptor_cold/fold1/M11/seed123/refit_checkpoint.pt,,TRAINING_ONLY_CROSSFIT,9bada16ac9ac25919aec37113ed8e5cef864405278853e387cf7841e07852efe,4,,
7446629,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e2a_multitask_crossfit/neural/acceptor_cold/fold1/M11/seed42/refit_checkpoint.pt,,TRAINING_ONLY_CROSSFIT,905c1a75c20080f723bd17d29205d9aa9dac2e28c7ee4e40c1e1e3e8ea70c279,4,,
7446629,physics_multitask,,LOADABLE_FINITE_FORWARD,1854220,/home/changliu/ExcitationNexus/12_Phase4_Multitask_OOD_Training/runs/gate2e2a_multitask_crossfit/neural/acceptor_cold/fold1/M11/seed456/refit_checkpoint.pt,,TRAINING_ONLY_CROSSFIT,9201f8e9c9ae89f3acad6790e8a214e1be42c0f46017e3c8590f0b074859ba60,4,,
