arm,fold,group_macro_mae,group_macro_r2,group_macro_rmse,groups,inference_wall_seconds,model_sha256,parameter_count,peak_rss_kib,protocol,record_mae,record_r2,record_rmse,records,source_cohort_macro_mae,source_gap,source_mae,training_wall_seconds,worst_source_mae
xgb_c0_blind,0,0.08661008222021774,0.7396628239817452,0.12223875848552844,4965,0.04721172899007797,397bb65bb118a7c9560d7d09e469ce0dd2f19a24f497f7def83d27ed49648a69,XGBoost_trees_500,1154232,pair_cold_5fold,0.08670185398044936,0.7394664100493311,0.12239358673308569,4987,0.08327818941154662,0.022655867374412997,"{'external2698': 0.07016436636253025, 'new15016': 0.08684996813516636, 'old7316': 0.09282023373694324}",1.1684580547735095,0.09282023373694324
xgb_c0_blind,1,0.08772452487539442,0.7376464774427267,0.12360972216812412,5036,0.03322015702724457,524d0800e2cb79ee3c8903fdc02cf5b16d116033bef481dbd653414dee831af5,XGBoost_trees_500,1154232,pair_cold_5fold,0.08772604033047289,0.7378962311249948,0.12356940658529406,5050,0.08285452516250624,0.02496807418725494,"{'external2698': 0.0671104512522052, 'new15016': 0.08937459879585338, 'old7316': 0.09207852543946014}",1.1876757191494107,0.09207852543946014
xgb_c0_blind,2,0.0856805714229225,0.7477415638665779,0.12003695313605084,4982,0.043660759925842285,fd887a52de2ec067362e794e047830c7e4ee8f1d191703621dfdb99c7b784fcf,XGBoost_trees_500,1154232,pair_cold_5fold,0.08576591816283165,0.7481561122450467,0.12016525240490558,5001,0.07890933728771832,0.031830092593045076,"{'external2698': 0.058090613736628605, 'new15016': 0.08871669179685265, 'old7316': 0.08992070632967368}",1.1364083923399448,0.08992070632967368
xgb_c0_blind,3,0.08491933020175614,0.7362603613883747,0.12032224555652414,4934,0.035869683139026165,90a807ba693a8b626d2ce4cc239fbde38fde3a33d8de817b4fd3c1177bfdc6e9,XGBoost_trees_500,1154232,pair_cold_5fold,0.08479518614932294,0.737419945744566,0.12015467164318043,4959,0.07870149478550949,0.028031114272960955,"{'external2698': 0.06045909034271686, 'new15016': 0.0871551893981338, 'old7316': 0.08849020461567782}",1.0608537979424,0.08849020461567782
xgb_c0_blind,4,0.0885062831609954,0.7286724004497476,0.1273660782842284,4977,0.04070003377273679,5874c1e1c46c8a235d622cea3a0107ac057777959d04f6312d4e8dffa2e5e332,XGBoost_trees_500,1154232,pair_cold_5fold,0.08853543054026992,0.7290345740173296,0.12729488880384177,5003,0.08397257262030905,0.028228861488093684,"{'external2698': 0.06751747427790325, 'new15016': 0.08865390781702696, 'old7316': 0.09574633576599693}",1.0888711418956518,0.09574633576599693
xgb_c0_observable_provenance,0,0.08024754389335921,0.7781438234446778,0.11284267855049573,4965,0.04770021000877023,4e545376890c7cfd5a9943e1b9e26a2c1068483bb9700f3fb18bcc1b8af501cb,XGBoost_trees_500,1171964,pair_cold_5fold,0.08033028289515573,0.7781107126235999,0.11295227114102879,4987,0.07609238636084971,0.018051935437234712,"{'external2698': 0.06555190570786379, 'new15016': 0.0836038411450985, 'old7316': 0.07912141222958684}",1.1543972329236567,0.0836038411450985
xgb_c0_observable_provenance,1,0.08171382805829173,0.7735717390070761,0.11486927803540185,5036,0.04535585409030318,1f74796f2b82b58d2385830b329aa27342646dca66a6eea383d1f5442ca16c6c,XGBoost_trees_500,1171964,pair_cold_5fold,0.08169397715693162,0.7735971867714106,0.11484583181565731,5050,0.07687664221215347,0.020065214093508296,"{'external2698': 0.0658770971842037, 'new15016': 0.085942311277712, 'old7316': 0.07881051817454471}",1.034991418942809,0.085942311277712
xgb_c0_observable_provenance,2,0.08013143140392592,0.7839346806679732,0.11101538529485415,4982,0.05048331618309021,07533bcb17245cdea26faf20866480cefbd20aaaafc01fbed1236b9badd0ccef,XGBoost_trees_500,1184932,pair_cold_5fold,0.08016271963319845,0.7848632483529203,0.11106328096099889,5001,0.07302761476232784,0.030026644164268215,"{'external2698': 0.055846479281812966, 'new15016': 0.08587312344608118, 'old7316': 0.07736324155908939}",1.17883921880275,0.08587312344608118
xgb_c0_observable_provenance,3,0.07986737133602365,0.770807387467185,0.11208091572672133,4934,0.040370762813836336,f4d2fc5db95f3cf1b4fd0a4b2a4226f83955f00af7e06483efeb423bc240e000,XGBoost_trees_500,1184932,pair_cold_5fold,0.07978060433319653,0.7719991524558726,0.11196390182864296,4959,0.07424828707513052,0.023223668720650202,"{'external2698': 0.06075296122245714, 'new15016': 0.08397662994310734, 'old7316': 0.07801527005982707}",1.1524873278103769,0.08397662994310734
xgb_c0_observable_provenance,4,0.08169984193543996,0.7723541679563337,0.1166219790417034,4977,0.05266608111560345,cb60bc787908181e4a4200ea17317db2e4011bc966866b454be80b4f3d4c4ac9,XGBoost_trees_500,1188644,pair_cold_5fold,0.08169543779407717,0.7729382631740815,0.1165268492062667,5003,0.07701386728181016,0.01982579916770616,"{'external2698': 0.0651674132365054, 'new15016': 0.08499321240421157, 'old7316': 0.0808809762047135}",1.1532733798958361,0.08499321240421157
xgb_c0_blind,0,0.08992514547027344,0.7434547133300335,0.12683034230884474,5219,0.047117308247834444,c27859ebfe2e010b212d3b90cea3cd85347f5bfbf280ed1f0188309586824857,XGBoost_trees_500,1188644,donor_cold_5fold,0.08980456850386861,0.7435742282627826,0.12660292853126723,5294,0.09263574946714977,0.014086778298897443,"{'external2698': 0.10140159029467657, 'new15016': 0.08731481199577913, 'old7316': 0.0891908461109936}",1.1578270308673382,0.10140159029467657
xgb_c0_blind,1,0.09759382344622856,0.7224151982251772,0.1345607666562098,6278,0.05803955299779773,f5d29224235c2bfe0ef30a29d761f28f21758db104ac3543e5776eb026721c9a,XGBoost_trees_500,1188644,donor_cold_5fold,0.09795332965362832,0.7225732008303338,0.1347430112477267,6429,0.09638594223935697,0.01985220441826341,"{'external2698': 0.08708825857031131, 'new15016': 0.09512910515918485, 'old7316': 0.10694046298857472}",1.0320647521875799,0.10694046298857472
xgb_c0_blind,2,0.09498035805237465,0.6382142743482963,0.1304162053236083,3461,0.04557378403842449,020554f7fbe3c8ca1f92da17ef683189b728349cf0f141df9238ea34d13db759,XGBoost_trees_500,1201320,donor_cold_5fold,0.0951288993887357,0.6363905596825987,0.1306319411498648,3503,0.08648672986709656,0.03491073241272455,"{'external2698': 0.06553503271496523, 'new15016': 0.10044576512768978, 'old7316': 0.09347939175863465}",1.19398080278188,0.10044576512768978
xgb_c0_blind,3,0.10192765806245743,0.6140697235576816,0.142991070813833,5064,0.04013184178620577,3c88feeb66c46a2d4ea5747e572bfbf36d6d430d9bb2a1aa5fddd19bc4a4e282,XGBoost_trees_500,1201320,donor_cold_5fold,0.1020022487374727,0.6136373972434666,0.1431169528394643,5124,0.08965554392129627,0.04732368847011266,"{'external2698': 0.06265792145644936, 'new15016': 0.10998160992656202, 'old7316': 0.09632710038087741}",1.093539971858263,0.10998160992656202
xgb_c0_blind,4,0.09609262542778109,0.6617250142504844,0.13352519464894405,4593,0.03403124772012234,dc5fbf0f9e03cd6960bb038913213cedb8ae044bfb15cd83ac28cb9cce6d35ca,XGBoost_trees_500,1201320,donor_cold_5fold,0.09616794758501714,0.663254595748108,0.13376102289520267,4658,0.09290527293494959,0.016224172866702746,"{'external2698': 0.08214774159467393, 'new15016': 0.09837191446137668, 'old7316': 0.09819616274879815}",1.0379695747978985,0.09837191446137668
xgb_c0_observable_provenance,0,0.08654231458577705,0.7619173746369459,0.122180904266127,5219,0.045796945225447416,53ee1de775ed583e56e6e7308dff52337ce79e705ab95c19b38fe066915c2161,XGBoost_trees_500,1201320,donor_cold_5fold,0.0864410031173703,0.7620299527449456,0.12196186716413704,5294,0.08865435866496689,0.018213935687616742,"{'external2698': 0.09948562386750441, 'new15016': 0.08520576394750858, 'old7316': 0.08127168817988767}",1.174905579071492,0.09948562386750441
xgb_c0_observable_provenance,1,0.08977227260300794,0.7714213938890657,0.12214939215037676,6278,0.04605597583577037,1915a23a599fec85f0c9b4a6c5d6b679c55eeb8df96109037b773247505b4256,XGBoost_trees_500,1201320,donor_cold_5fold,0.08988071284457165,0.772397448651167,0.12204517267732255,6429,0.08915007098149441,0.002968520299132721,"{'external2698': 0.08787465368825947, 'new15016': 0.0908431739873922, 'old7316': 0.08873238526883159}",1.1287651932798326,0.0908431739873922
xgb_c0_observable_provenance,2,0.0888647067294944,0.6800825273791087,0.12263793404309975,3461,0.046209435909986496,4602048f084f1d58a5fcaed5ba8b1daa959beeb7ed4dd924f46b00d992065a9d,XGBoost_trees_500,1201320,donor_cold_5fold,0.08894171233717167,0.6788737730574425,0.12276362207745749,3503,0.08125926315848415,0.030746807595129683,"{'external2698': 0.064032794002618, 'new15016': 0.09477960159774768, 'old7316': 0.08496539387508678}",1.1954539366997778,0.09477960159774768
