sid,true_eb_eV,pred_eb_eV,target_seed42,b21_seed42_pred_eV,target_seed123,b21_seed123_pred_eV,target_seed456,b21_seed456_pred_eV,b21_three_seed_ensemble_pred_eV,cheap_abs_error_eV,b21_ensemble_abs_error_eV,abs_error_delta_cheap_minus_b21_ensemble_eV
D-145_A-228,0.9294865313904582,0.7485358,0.9294865,0.92241275,0.9294865,1.0035069,0.9294865,0.97132206,0.9657472366666666,0.18095073139045825,0.036260705276208394,0.14469002611424986
D-22_A-161,0.6451508691652371,0.68138003,0.64515084,0.6664456,0.64515084,0.64841557,0.64515084,0.6516684,0.6555098566666667,0.03622916083476291,0.010358987501429606,0.0258701733333333
D-118_A-160,0.6059664729710145,0.6164938,0.60596645,0.673239,0.60596645,0.6333638,0.60596645,0.6310048,0.6458692,0.010527327028985511,0.03990272702898556,-0.02937540000000005
D-107_A-117,0.6378037948788204,0.6855217,0.6378038,0.7515454,0.6378038,0.7332994,0.6378038,0.7140963,0.7329803666666667,0.04771790512117957,0.09517657178784622,-0.04745866666666665
D-83_A-82,0.6675264033412239,0.876956,0.6675264,0.6637894,0.6675264,0.7866338,0.6675264,0.72226703,0.7242300766666666,0.20942959665877603,0.05670367332544268,0.15272592333333335
D-167_A-323,0.4571901623415212,0.77019995,0.45719016,0.57275677,0.45719016,0.6525461,0.45719016,0.6503178,0.62520689,0.31300978765847876,0.16801672765847875,0.14499306
D-158_A-158,0.5949497488822816,0.62145174,0.5949497,0.594982,0.5949497,0.65113467,0.5949497,0.5883106,0.6114757566666668,0.02650199111771845,0.016526007784385177,0.009975983333333271
D-129_A-157,0.5763293860082414,0.5839266,0.5763294,0.5549238,0.5763294,0.5215409,0.5763294,0.56905496,0.5485065533333332,0.007597213991758611,0.02782283267490815,-0.020225618683149538
D-159_A-98,0.6477320635177138,0.6338223,0.6477321,0.6591488,0.6477321,0.67250496,0.6477321,0.65538263,0.6623454633333333,0.013909763517713891,0.014613399815619488,-0.0007036362979055966
D-122_A-316,0.5954317791529249,0.6209643,0.5954318,0.5977669,0.5954318,0.64019233,0.5954318,0.5961022,0.61135381,0.025532520847075135,0.015922030847075108,0.009610490000000027
